GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHH,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,NAME_E,AJ6QE001,AJ6QE002,AJ6QE003,AJ6QE004,AJ6QE005,AJ6QE006,AJ6QE007,AJ6QE008,AJ6QE009,AJ6QE010,AJ6QE011,AJ6QE012,AJ6QE013,AJ6QE014,AJ6QE015,AJ6QE016,AJ6QE017,AJ6QE018,AJ6QE019,AJ6QE020,AJ6QE021,AJ6QE022,AJ6QE023,AJ6QE024,AJ6QE025,AJ6QE026,AJ6QE027,AJ6QE028,AJ6QE029,AJ6QE030,AJ6QE031,NAME_M,AJ6QM001,AJ6QM002,AJ6QM003,AJ6QM004,AJ6QM005,AJ6QM006,AJ6QM007,AJ6QM008,AJ6QM009,AJ6QM010,AJ6QM011,AJ6QM012,AJ6QM013,AJ6QM014,AJ6QM015,AJ6QM016,AJ6QM017,AJ6QM018,AJ6QM019,AJ6QM020,AJ6QM021,AJ6QM022,AJ6QM023,AJ6QM024,AJ6QM025,AJ6QM026,AJ6QM027,AJ6QM028,AJ6QM029,AJ6QM030,AJ6QM031
"G3265","2014-2018",,,,,,,,,"Rumsey Indian Rancheria, CA","3265",,,,,,,,,,,,,,,,,,,,,,"Rumsey Indian Rancheria, CA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Rumsey Indian Rancheria, CA",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G3280","2014-2018",,,,,,,,,"Sac and Fox/Meskwaki Settlement and Off-Reservation Trust Land, IA","3280",,,,,,,,,,,,,,,,,,,,,,"Sac and Fox/Meskwaki Settlement and Off-Reservation Trust Land, IA",927,466,58,44,52,28,30,41,24,21,32,38,56,26,15,1,461,42,38,50,15,29,23,38,29,54,50,40,32,13,8,"Sac and Fox/Meskwaki Settlement and Off-Reservation Trust Land, IA",111,64,16,15,19,14,10,18,9,11,16,19,9,10,10,4,65,22,13,16,9,18,15,10,7,16,15,16,7,11,8
"G3285","2014-2018",,,,,,,,,"Sac and Fox Nation Reservation and Off-Reservation Trust Land, NE--KS","3285",,,,,,,,,,,,,,,,,,,,,,"Sac and Fox Nation Reservation and Off-Reservation Trust Land, NE--KS",40,18,2,4,0,2,0,0,0,1,4,2,1,2,0,0,22,0,1,1,0,0,0,3,1,4,2,7,2,0,1,"Sac and Fox Nation Reservation and Off-Reservation Trust Land, NE--KS",18,9,3,5,11,3,11,11,11,2,6,3,2,3,11,11,12,11,2,2,11,11,11,4,2,5,3,7,3,11,2
"G3305","2014-2018",,,,,,,,,"St. Croix Reservation and Off-Reservation Trust Land, WI","3305",,,,,,,,,,,,,,,,,,,,,,"St. Croix Reservation and Off-Reservation Trust Land, WI",524,293,31,31,19,17,13,19,11,13,41,58,13,13,10,4,231,16,22,19,15,2,27,13,15,43,27,13,15,2,2,"St. Croix Reservation and Off-Reservation Trust Land, WI",75,47,19,12,11,9,8,16,11,10,16,20,8,9,8,5,45,8,12,11,9,4,14,10,8,18,12,8,9,4,4
"G3320","2014-2018",,,,,,,,,"St. Regis Mohawk Reservation, NY","3320",,,,,,,,,,,,,,,,,,,,,,"St. Regis Mohawk Reservation, NY",2677,1107,0,0,201,0,54,115,97,0,194,0,191,200,55,0,1570,89,148,0,149,0,387,0,0,85,280,200,139,93,0,"St. Regis Mohawk Reservation, NY",328,359,12,12,208,12,87,86,66,12,173,12,119,112,81,12,323,99,200,12,65,12,97,12,12,109,139,40,68,66,12
"G3340","2014-2018",,,,,,,,,"Salt River Reservation, AZ","3340",,,,,,,,,,,,,,,,,,,,,,"Salt River Reservation, AZ",5115,2555,238,212,214,89,172,156,366,262,293,321,161,54,17,0,2560,271,155,206,99,51,110,229,254,316,268,333,243,25,0,"Salt River Reservation, AZ",657,415,110,87,95,51,96,89,164,120,132,111,90,55,25,17,338,118,75,111,66,54,74,124,99,155,100,120,87,23,17
"G3355","2014-2018",,,,,,,,,"San Carlos Reservation, AZ","3355",,,,,,,,,,,,,,,,,,,,,,"San Carlos Reservation, AZ",9363,4364,557,506,362,281,130,335,319,324,412,451,413,189,85,0,4999,549,478,507,224,182,444,368,246,508,564,479,310,108,32,"San Carlos Reservation, AZ",411,256,70,114,81,35,44,77,86,73,84,70,68,41,46,19,251,58,95,97,39,51,71,77,44,70,67,54,48,50,20
"G3370","2014-2018",,,,,,,,,"Sandia Pueblo, NM","3370",,,,,,,,,,,,,,,,,,,,,,"Sandia Pueblo, NM",629,283,15,39,17,17,9,30,10,26,24,44,31,18,3,0,346,32,44,28,8,0,27,14,18,58,35,42,21,15,4,"Sandia Pueblo, NM",108,56,14,21,17,12,11,17,8,15,13,19,15,10,5,17,69,18,23,18,7,17,15,12,11,19,17,16,11,10,4
"G3400","2014-2018",,,,,,,,,"San Felipe Pueblo, NM","3400",,,,,,,,,,,,,,,,,,,,,,"San Felipe Pueblo, NM",2632,1288,120,152,137,119,47,47,103,114,149,88,119,50,43,0,1344,71,101,115,61,24,73,113,94,233,87,206,99,54,13,"San Felipe Pueblo, NM",384,202,46,44,44,46,30,30,38,42,43,28,35,21,24,12,210,33,39,37,36,17,32,48,33,67,35,49,28,24,11
"G3415","2014-2018",,,,,,,,,"San Ildefonso Pueblo and Off-Reservation Trust Land, NM","3415",,,,,,,,,,,,,,,,,,,,,,"San Ildefonso Pueblo and Off-Reservation Trust Land, NM",719,365,24,33,19,30,5,51,14,24,40,59,36,20,8,2,354,13,28,35,5,2,42,39,29,41,35,42,30,4,9,"San Ildefonso Pueblo and Off-Reservation Trust Land, NM",107,67,11,13,11,13,6,33,13,19,21,25,15,12,6,3,63,7,12,16,5,3,19,18,13,17,15,14,11,4,7
