GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHH,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,NAME_E,ABK3E001,ABK3E002,ABK3E003,ABK3E004,ABK3E005,ABK3E006,ABK3E007,ABK3E008,ABK3E009,ABK3E010,ABK3E011,ABK3E012,ABK3E013,ABK3E014,ABK3E015,ABK3E016,ABK3E017,ABK3E018,ABK3E019,ABK3E020,ABK3E021,ABK3E022,ABK3E023,ABK3E024,ABK3E025,ABK3E026,ABK3E027,ABK3E028,ABK3E029,ABK3E030,ABK3E031,NAME_M,ABK3M001,ABK3M002,ABK3M003,ABK3M004,ABK3M005,ABK3M006,ABK3M007,ABK3M008,ABK3M009,ABK3M010,ABK3M011,ABK3M012,ABK3M013,ABK3M014,ABK3M015,ABK3M016,ABK3M017,ABK3M018,ABK3M019,ABK3M020,ABK3M021,ABK3M022,ABK3M023,ABK3M024,ABK3M025,ABK3M026,ABK3M027,ABK3M028,ABK3M029,ABK3M030,ABK3M031
"G9720","2010-2014",,,,,,,,,"Four Winds Cherokee SDTSA, LA","9720",,,,,,,,,,,,,,,,,,,,,,"Four Winds Cherokee SDTSA, LA",321,166,10,5,4,2,0,12,5,0,22,60,32,11,3,0,155,6,8,3,0,0,23,2,21,26,22,39,5,0,0,"Four Winds Cherokee SDTSA, LA",104,67,13,7,11,3,25,13,12,25,21,37,15,10,4,25,52,10,13,4,25,25,19,4,20,20,16,23,6,25,25
"G9745","2010-2014",,,,,,,,,"Haliwa-Saponi SDTSA, NC","9745",,,,,,,,,,,,,,,,,,,,,,"Haliwa-Saponi SDTSA, NC",2486,1270,122,116,96,61,52,139,72,65,109,141,162,94,41,0,1216,56,34,68,43,53,70,93,74,157,220,171,114,53,10,"Haliwa-Saponi SDTSA, NC",235,110,28,44,38,44,33,49,41,36,48,49,52,29,21,17,177,37,25,43,29,37,39,55,36,45,44,58,36,26,11
"G9800","2010-2014",,,,,,,,,"Lenape Indian Tribe of Delaware SDTSA, DE","9800",,,,,,,,,,,,,,,,,,,,,,"Lenape Indian Tribe of Delaware SDTSA, DE",122,53,2,0,0,0,0,4,0,8,4,9,11,5,7,3,69,0,1,0,0,0,4,0,6,3,4,16,7,14,14,"Lenape Indian Tribe of Delaware SDTSA, DE",54,29,4,11,11,11,11,6,11,11,7,9,10,7,8,5,33,11,2,11,11,11,5,11,8,5,5,13,11,15,17
"G9815","2010-2014",,,,,,,,,"Lumbee SDTSA, NC","9815",,,,,,,,,,,,,,,,,,,,,,"Lumbee SDTSA, NC",62008,29471,2135,2418,2416,1515,1002,2366,1814,1777,4228,3634,3545,1901,603,117,32537,2104,2309,2269,1508,950,2500,2073,2209,4670,4246,4100,2247,1051,301,"Lumbee SDTSA, NC",745,416,138,231,252,132,99,113,122,118,143,136,103,96,72,71,537,149,214,222,136,70,114,113,92,116,113,90,92,123,94
"G9820","2010-2014",,,,,,,,,"MaChis Lower Creek SDTSA, AL","9820",,,,,,,,,,,,,,,,,,,,,,"MaChis Lower Creek SDTSA, AL",410,218,26,14,17,7,18,19,0,16,16,25,43,17,0,0,192,3,11,12,23,13,7,12,15,35,22,21,11,3,4,"MaChis Lower Creek SDTSA, AL",100,63,19,10,15,7,13,15,21,15,11,16,19,15,21,21,55,4,8,11,13,11,6,12,12,19,14,13,13,8,7
"G9825","2010-2014",,,,,,,,,"Meherrin SDTSA, NC","9825",,,,,,,,,,,,,,,,,,,,,,"Meherrin SDTSA, NC",152,78,0,2,2,0,0,0,11,16,10,5,9,14,7,2,74,2,5,1,0,4,2,3,1,3,10,9,17,13,4,"Meherrin SDTSA, NC",37,21,17,3,4,17,17,17,13,12,8,6,8,9,7,3,30,3,10,2,17,4,5,3,2,3,9,8,12,8,4
"G9830","2010-2014",,,,,,,,,"Nanticoke Indian Tribe SDTSA, DE","9830",,,,,,,,,,,,,,,,,,,,,,"Nanticoke Indian Tribe SDTSA, DE",256,122,2,1,1,1,0,35,0,3,8,21,16,14,20,0,134,3,2,0,0,0,0,0,1,5,17,35,38,28,5,"Nanticoke Indian Tribe SDTSA, DE",71,46,3,2,3,5,16,33,16,6,8,16,14,8,13,16,45,5,3,16,16,16,16,16,4,6,16,18,17,30,7
"G9835","2010-2014",,,,,,,,,"Nanticoke Lenni Lenape SDTSA, NJ","9835",,,,,,,,,,,,,,,,,,,,,,"Nanticoke Lenni Lenape SDTSA, NJ",242,142,0,7,2,1,2,8,6,0,21,33,36,22,4,0,100,3,0,1,6,0,5,1,1,6,19,31,8,14,5,"Nanticoke Lenni Lenape SDTSA, NJ",56,42,17,10,4,3,3,10,6,17,16,16,18,15,5,17,35,3,17,2,8,17,4,2,2,5,11,15,11,15,5
"G9838","2010-2014",,,,,,,,,"Occaneechi-Saponi SDTSA, NC","9838",,,,,,,,,,,,,,,,,,,,,,"Occaneechi-Saponi SDTSA, NC",148,71,0,0,0,16,0,3,0,0,4,12,29,0,5,2,77,13,3,5,13,6,0,0,0,14,4,8,6,5,0,"Occaneechi-Saponi SDTSA, NC",75,46,17,17,17,29,17,5,17,17,5,10,19,17,5,3,56,19,6,7,18,11,17,17,17,14,5,9,7,7,17
"G9844","2010-2014",,,,,,,,,"Pee Dee SDTSA, SC","9844",,,,,,,,,,,,,,,,,,,,,,"Pee Dee SDTSA, SC",147,71,9,0,0,0,3,14,10,0,15,10,10,0,0,0,76,0,3,0,0,0,10,10,0,16,30,5,1,1,0,"Pee Dee SDTSA, SC",80,36,16,12,12,12,5,18,13,12,18,14,10,12,12,12,56,12,5,12,12,12,14,17,12,23,30,8,2,2,12
