GISJOIN,YEAR,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHH,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,NAME_E,ABK3E001,ABK3E002,ABK3E003,ABK3E004,ABK3E005,ABK3E006,ABK3E007,ABK3E008,ABK3E009,ABK3E010,ABK3E011,ABK3E012,ABK3E013,ABK3E014,ABK3E015,ABK3E016,ABK3E017,ABK3E018,ABK3E019,ABK3E020,ABK3E021,ABK3E022,ABK3E023,ABK3E024,ABK3E025,ABK3E026,ABK3E027,ABK3E028,ABK3E029,ABK3E030,ABK3E031,NAME_M,ABK3M001,ABK3M002,ABK3M003,ABK3M004,ABK3M005,ABK3M006,ABK3M007,ABK3M008,ABK3M009,ABK3M010,ABK3M011,ABK3M012,ABK3M013,ABK3M014,ABK3M015,ABK3M016,ABK3M017,ABK3M018,ABK3M019,ABK3M020,ABK3M021,ABK3M022,ABK3M023,ABK3M024,ABK3M025,ABK3M026,ABK3M027,ABK3M028,ABK3M029,ABK3M030,ABK3M031
"G4445","2010-2014",,,,,,,,,"Upper Sioux Community and Off-Reservation Trust Land, MN","4445",,,,,,,,,,,,,,,,,,,,,,"Upper Sioux Community and Off-Reservation Trust Land, MN",134,70,6,5,4,4,0,7,8,13,5,4,9,3,0,2,64,9,4,6,1,0,4,4,1,13,8,10,2,2,0,"Upper Sioux Community and Off-Reservation Trust Land, MN",44,27,7,6,5,8,9,8,12,11,5,4,10,4,9,3,24,8,5,6,2,9,6,7,3,11,6,10,3,3,9
"G4455","2010-2014",,,,,,,,,"Upper Skagit Reservation, WA","4455",,,,,,,,,,,,,,,,,,,,,,"Upper Skagit Reservation, WA",255,111,19,6,15,8,2,16,0,6,18,8,13,0,0,0,144,12,19,12,1,8,13,4,6,11,19,29,8,1,1,"Upper Skagit Reservation, WA",113,63,15,6,15,9,5,14,12,8,18,9,11,12,12,12,61,15,20,13,3,10,13,7,8,12,14,17,9,3,4
"G4470","2010-2014",,,,,,,,,"Ute Mountain Reservation and Off-Reservation Trust Land, CO--NM--UT","4470",,,,,,,,,,,,,,,,,,,,,,"Ute Mountain Reservation and Off-Reservation Trust Land, CO--NM--UT",1392,600,19,52,80,103,22,59,21,67,36,72,46,23,0,0,792,74,66,49,44,22,45,41,28,99,197,47,54,3,23,"Ute Mountain Reservation and Off-Reservation Trust Land, CO--NM--UT",340,154,15,29,43,62,20,55,18,30,25,30,22,17,11,11,211,28,39,33,35,16,22,27,18,63,67,31,29,7,17
"G4500","2010-2014",,,,,,,,,"Viejas Reservation, CA","4500",,,,,,,,,,,,,,,,,,,,,,"Viejas Reservation, CA",254,123,5,9,10,10,4,6,10,27,12,17,12,1,0,0,131,12,14,10,17,11,6,8,11,10,14,9,7,2,0,"Viejas Reservation, CA",111,54,5,11,9,11,5,6,10,20,9,13,13,3,12,12,65,12,11,11,15,15,10,10,10,11,11,9,6,3,12
"G4515","2010-2014",,,,,,,,,"Walker River Reservation, NV","4515",,,,,,,,,,,,,,,,,,,,,,"Walker River Reservation, NV",632,287,24,29,29,7,30,33,19,12,13,39,24,17,7,4,345,29,13,28,15,6,39,20,16,53,46,18,32,24,6,"Walker River Reservation, NV",124,60,16,17,15,9,16,17,16,14,10,20,19,11,6,4,79,17,13,21,18,7,22,17,11,22,20,14,16,15,7
"G4530","2010-2014",,,,,,,,,"Wampanoag-Aquinnah Trust Land, MA","4530",,,,,,,,,,,,,,,,,,,,,,"Wampanoag-Aquinnah Trust Land, MA",61,42,8,0,9,0,0,0,0,11,3,8,0,1,0,2,19,0,0,0,0,0,0,0,1,12,2,3,1,0,0,"Wampanoag-Aquinnah Trust Land, MA",55,42,13,12,16,12,12,12,12,20,4,14,12,2,12,3,14,12,12,12,12,12,12,12,4,14,4,4,2,12,12
"G4545","2010-2014",,,,,,,,,"Warm Springs Reservation and Off-Reservation Trust Land, OR","4545",,,,,,,,,,,,,,,,,,,,,,"Warm Springs Reservation and Off-Reservation Trust Land, OR",3596,1820,169,156,216,112,63,157,203,103,194,191,116,124,16,0,1776,116,213,199,65,82,117,125,72,255,243,164,91,29,5,"Warm Springs Reservation and Off-Reservation Trust Land, OR",322,188,54,63,56,41,36,45,30,28,60,59,65,32,16,12,211,55,57,53,33,44,52,41,46,24,40,46,30,25,9
"G4560","2010-2014",,,,,,,,,"Washoe Ranches Trust Land, NV--CA","4560",,,,,,,,,,,,,,,,,,,,,,"Washoe Ranches Trust Land, NV--CA",64,35,1,0,11,0,0,1,0,2,12,5,0,1,2,0,29,0,1,2,9,0,0,0,0,7,1,6,1,2,0,"Washoe Ranches Trust Land, NV--CA",55,31,5,11,15,11,11,2,11,3,13,6,11,3,3,11,29,11,7,5,11,11,11,11,11,8,2,7,2,3,11
"G4580","2010-2014",,,,,,,,,"Wells Colony, NV","4580",,,,,,,,,,,,,,,,,,,,,,"Wells Colony, NV",36,17,2,0,0,0,0,2,1,0,0,3,9,0,0,0,19,1,4,2,1,0,3,0,0,1,7,0,0,0,0,"Wells Colony, NV",17,11,3,13,13,13,13,4,3,13,13,5,7,13,13,13,15,3,7,3,2,13,7,13,13,2,6,13,13,13,13
"G4595","2010-2014",,,,,,,,,"White Earth Reservation and Off-Reservation Trust Land, MN","4595",,,,,,,,,,,,,,,,,,,,,,"White Earth Reservation and Off-Reservation Trust Land, MN",4237,2066,266,220,213,107,43,138,137,106,211,239,220,125,33,8,2171,258,296,208,105,34,139,158,129,204,208,234,136,53,9,"White Earth Reservation and Off-Reservation Trust Land, MN",180,115,33,42,34,14,10,22,26,22,32,29,26,15,8,5,96,32,39,32,19,15,22,25,31,23,24,28,18,16,5
"G4610","2010-2014",,,,,,,,,"Wind River Reservation and Off-Reservation Trust Land, WY","4610",,,,,,,,,,,,,,,,,,,,,,"Wind River Reservation and Off-Reservation Trust Land, WY",7621,3789,365,549,347,209,144,305,275,277,414,374,309,159,59,3,3832,411,414,399,175,79,270,281,314,359,490,354,189,82,15,"Wind River Reservation and Off-Reservation Trust Land, WY",426,234,98,70,67,43,32,67,30,60,56,41,54,17,14,5,233,84,69,63,33,32,65,44,33,68,25,33,18,23,12
"G4625","2010-2014",,,,,,,,,"Winnebago Reservation and Off-Reservation Trust Land, NE--IA","4625",,,,,,,,,,,,,,,,,,,,,,"Winnebago Reservation and Off-Reservation Trust Land, NE--IA",1873,866,124,138,135,52,29,72,68,57,60,82,30,13,3,3,1007,121,127,115,78,57,64,43,78,110,88,73,30,23,0,"Winnebago Reservation and Off-Reservation Trust Land, NE--IA",131,75,25,29,31,16,15,20,18,17,16,22,19,9,4,6,83,28,26,26,14,12,21,17,12,22,17,20,11,8,11
"G4635","2010-2014",,,,,,,,,"Winnemucca Indian Colony, NV","4635",,,,,,,,,,,,,,,,,,,,,,"Winnemucca Indian Colony, NV",16,13,0,0,2,0,0,0,0,0,2,1,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,"Winnemucca Indian Colony, NV",13,10,13,13,4,13,13,13,13,13,3,3,13,9,13,13,6,13,13,13,13,13,13,13,13,13,13,13,6,13,13
"G4665","2010-2014",,,,,,,,,"Woodfords Community, CA","4665",,,,,,,,,,,,,,,,,,,,,,"Woodfords Community, CA",166,71,11,8,6,6,1,2,3,4,15,6,8,1,0,0,95,0,9,10,13,0,9,7,4,7,10,9,10,4,3,"Woodfords Community, CA",59,38,14,10,7,7,3,3,4,6,10,6,6,3,12,12,33,12,7,5,5,12,9,7,6,8,8,9,8,5,7
"G4680","2010-2014",,,,,,,,,"XL Ranch Rancheria, CA","4680",,,,,,,,,,,,,,,,,,,,,,"XL Ranch Rancheria, CA",29,13,0,3,0,0,0,0,0,1,2,0,2,3,0,2,16,2,4,4,0,0,0,2,0,0,0,2,2,0,0,"XL Ranch Rancheria, CA",18,12,12,6,12,12,12,12,12,3,5,12,4,5,12,4,12,5,6,7,12,12,12,3,12,12,12,3,3,12,12
"G4690","2010-2014",,,,,,,,,"Yakama Nation Reservation and Off-Reservation Trust Land, WA","4690",,,,,,,,,,,,,,,,,,,,,,"Yakama Nation Reservation and Off-Reservation Trust Land, WA",7119,3477,343,349,315,165,68,370,402,210,259,429,369,136,54,8,3642,281,369,394,129,142,371,263,209,345,486,407,165,60,21,"Yakama Nation Reservation and Off-Reservation Trust Land, WA",632,368,104,115,87,73,40,102,62,71,94,85,70,48,28,11,375,88,86,100,55,30,95,101,68,97,78,81,46,44,19
"G4700","2010-2014",,,,,,,,,"Yankton Reservation, SD","4700",,,,,,,,,,,,,,,,,,,,,,"Yankton Reservation, SD",2968,1474,195,207,164,106,57,93,90,81,167,156,105,35,13,5,1494,194,232,147,96,26,105,92,91,143,136,136,56,18,22,"Yankton Reservation, SD",94,40,17,31,30,4,32,34,5,8,10,2,13,13,10,5,67,17,40,33,13,16,25,19,13,25,10,9,2,10,10
"G4708","2010-2014",,,,,,,,,"Yavapai-Apache Nation Reservation, AZ","4708",,,,,,,,,,,,,,,,,,,,,,"Yavapai-Apache Nation Reservation, AZ",892,393,30,60,72,27,11,55,18,20,33,32,8,19,6,2,499,80,56,19,14,13,43,34,33,27,37,50,74,14,5,"Yavapai-Apache Nation Reservation, AZ",287,135,22,47,45,19,13,35,24,17,20,28,7,17,9,5,169,49,39,14,15,15,36,35,34,27,22,32,49,13,11
"G4710","2010-2014",,,,,,,,,"Yavapai-Prescott Reservation, AZ","4710",,,,,,,,,,,,,,,,,,,,,,"Yavapai-Prescott Reservation, AZ",185,112,8,7,44,8,0,1,1,3,2,5,2,31,0,0,73,9,8,9,0,0,8,1,0,12,13,6,0,7,0,"Yavapai-Prescott Reservation, AZ",133,106,13,13,59,15,13,3,5,7,4,6,5,40,13,13,53,16,12,12,13,13,8,3,13,15,12,7,13,13,13
"G4725","2010-2014",,,,,,,,,"Yerington Colony, NV","4725",,,,,,,,,,,,,,,,,,,,,,"Yerington Colony, NV",197,89,4,1,6,3,12,20,4,1,1,7,30,0,0,0,108,3,5,3,1,3,4,2,12,24,21,2,10,17,1,"Yerington Colony, NV",85,44,5,2,8,4,17,22,6,2,2,9,31,13,13,13,62,5,7,8,2,6,6,3,14,25,16,4,12,26,4
"G4740","2010-2014",,,,,,,,,"Yomba Reservation, NV","4740",,,,,,,,,,,,,,,,,,,,,,"Yomba Reservation, NV",147,67,13,9,0,0,0,0,3,7,8,12,8,7,0,0,80,0,14,17,14,0,0,12,13,0,0,1,6,3,0,"Yomba Reservation, NV",131,46,21,11,13,13,13,13,5,8,12,13,17,9,13,13,99,13,21,23,21,13,13,18,17,13,13,3,9,4,13
"G4755","2010-2014",,,,,,,,,"Ysleta del Sur Pueblo and Off-Reservation Trust Land, TX","4755",,,,,,,,,,,,,,,,,,,,,,"Ysleta del Sur Pueblo and Off-Reservation Trust Land, TX",547,251,27,34,52,19,2,17,17,9,40,18,6,10,0,0,296,12,32,43,16,20,24,9,21,56,29,20,9,5,0,"Ysleta del Sur Pueblo and Off-Reservation Trust Land, TX",141,75,24,17,27,13,3,15,12,9,20,11,8,8,13,13,83,12,15,24,12,18,17,10,11,33,16,17,7,5,13
"G4760","2010-2014",,,,,,,,,"Yurok Reservation, CA","4760",,,,,,,,,,,,,,,,,,,,,,"Yurok Reservation, CA",483,261,28,26,14,10,6,19,27,12,44,18,33,11,13,0,222,16,13,2,17,14,8,18,24,11,39,37,15,6,2,"Yurok Reservation, CA",143,87,17,25,19,11,9,18,24,10,30,15,22,10,8,12,76,16,14,6,19,17,9,16,19,11,26,21,11,6,4
"G4770","2010-2014",,,,,,,,,"Zia Pueblo and Off-Reservation Trust Land, NM","4770",,,,,,,,,,,,,,,,,,,,,,"Zia Pueblo and Off-Reservation Trust Land, NM",875,435,19,49,38,33,3,37,35,43,56,49,44,23,6,0,440,44,42,25,15,7,61,29,25,41,69,35,25,22,0,"Zia Pueblo and Off-Reservation Trust Land, NM",133,76,8,19,20,18,4,20,16,16,20,26,19,14,7,12,69,18,22,12,11,6,25,14,11,20,21,14,14,10,12
"G4785","2010-2014",,,,,,,,,"Zuni Reservation and Off-Reservation Trust Land, NM--AZ","4785",,,,,,,,,,,,,,,,,,,,,,"Zuni Reservation and Off-Reservation Trust Land, NM--AZ",10516,5280,567,407,283,139,135,597,401,447,778,841,472,114,23,76,5236,495,300,254,79,170,532,424,443,523,987,413,356,195,65,"Zuni Reservation and Off-Reservation Trust Land, NM--AZ",1051,539,192,150,89,54,60,128,142,112,174,163,138,54,22,64,606,146,82,80,38,62,158,156,152,110,198,150,118,84,65
"G4910","2010-2014",,,,,,,,,"Kickapoo (KS) Reservation/Sac and Fox Nation Trust Land joint-use area, KS","4910",,,,,,,,,,,,,,,,,,,,,,"Kickapoo (KS) Reservation/Sac and Fox Nation Trust Land joint-use area, KS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kickapoo (KS) Reservation/Sac and Fox Nation Trust Land joint-use area, KS",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"G4930","2010-2014",,,,,,,,,"San Felipe Pueblo/Santa Ana Pueblo joint-use area, NM","4930",,,,,,,,,,,,,,,,,,,,,,"San Felipe Pueblo/Santa Ana Pueblo joint-use area, NM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"San Felipe Pueblo/Santa Ana Pueblo joint-use area, NM",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G4940","2010-2014",,,,,,,,,"San Felipe Pueblo/Santo Domingo Pueblo joint-use area, NM","4940",,,,,,,,,,,,,,,,,,,,,,"San Felipe Pueblo/Santo Domingo Pueblo joint-use area, NM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"San Felipe Pueblo/Santo Domingo Pueblo joint-use area, NM",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"G5003","2010-2014",,,,,,,,,"Anahola (Agricultural) Hawaiian Home Land, HI","5003",,,,,,,,,,,,,,,,,,,,,,"Anahola (Agricultural) Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Anahola (Agricultural) Hawaiian Home Land, HI",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"G5004","2010-2014",,,,,,,,,"Anahola (Residential) Hawaiian Home Land, HI","5004",,,,,,,,,,,,,,,,,,,,,,"Anahola (Residential) Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Anahola (Residential) Hawaiian Home Land, HI",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"G5008","2010-2014",,,,,,,,,"East Kapolei Hawaiian Home Land, HI","5008",,,,,,,,,,,,,,,,,,,,,,"East Kapolei Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"East Kapolei Hawaiian Home Land, HI",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"G5009","2010-2014",,,,,,,,,"Haiku Hawaiian Home Land, HI","5009",,,,,,,,,,,,,,,,,,,,,,"Haiku Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Haiku Hawaiian Home Land, HI",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"G5011","2010-2014",,,,,,,,,"Hanapepe Hawaiian Home Land, HI","5011",,,,,,,,,,,,,,,,,,,,,,"Hanapepe Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hanapepe Hawaiian Home Land, HI",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"G5018","2010-2014",,,,,,,,,"Homuula-Upper Piihonua Hawaiian Home Land, HI","5018",,,,,,,,,,,,,,,,,,,,,,"Homuula-Upper Piihonua Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Homuula-Upper Piihonua Hawaiian Home Land, HI",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"G5026","2010-2014",,,,,,,,,"Honokaia Hawaiian Home Land, HI","5026",,,,,,,,,,,,,,,,,,,,,,"Honokaia Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Honokaia Hawaiian Home Land, HI",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"G5029","2010-2014",,,,,,,,,"Honokowai Hawaiian Home Land, HI","5029",,,,,,,,,,,,,,,,,,,,,,"Honokowai Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Honokowai Hawaiian Home Land, HI",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"G5030","2010-2014",,,,,,,,,"Honolulu Makai Hawaiian Home Land, HI","5030",,,,,,,,,,,,,,,,,,,,,,"Honolulu Makai Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Honolulu Makai Hawaiian Home Land, HI",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"G5031","2010-2014",,,,,,,,,"Honomu Hawaiian Home Land, HI","5031",,,,,,,,,,,,,,,,,,,,,,"Honomu Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Honomu Hawaiian Home Land, HI",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"G5033","2010-2014",,,,,,,,,"Hoolehua-Palaau Hawaiian Home Land, HI","5033",,,,,,,,,,,,,,,,,,,,,,"Hoolehua-Palaau Hawaiian Home Land, HI",4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hoolehua-Palaau Hawaiian Home Land, HI",6,6,11,11,11,11,11,11,11,11,11,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"G5041","2010-2014",,,,,,,,,"Kahikinui Hawaiian Home Land, HI","5041",,,,,,,,,,,,,,,,,,,,,,"Kahikinui Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kahikinui Hawaiian Home Land, HI",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"G5043","2010-2014",,,,,,,,,"Kakaina-Kumuhau Hawaiian Home Land, HI","5043",,,,,,,,,,,,,,,,,,,,,,"Kakaina-Kumuhau Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kakaina-Kumuhau Hawaiian Home Land, HI",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"G5044","2010-2014",,,,,,,,,"Kalaeloa Hawaiian Home Land, HI","5044",,,,,,,,,,,,,,,,,,,,,,"Kalaeloa Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kalaeloa Hawaiian Home Land, HI",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"G5046","2010-2014",,,,,,,,,"Kalamaula Hawaiian Home Land, HI","5046",,,,,,,,,,,,,,,,,,,,,,"Kalamaula Hawaiian Home Land, HI",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,"Kalamaula Hawaiian Home Land, HI",7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,7,11,11,11,11,11,11,11,11,11,11,7,11,11,11
"G5051","2010-2014",,,,,,,,,"Kalaupapa Hawaiian Home Land, HI","5051",,,,,,,,,,,,,,,,,,,,,,"Kalaupapa Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kalaupapa Hawaiian Home Land, HI",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"G5053","2010-2014",,,,,,,,,"Kalawahine Hawaiian Home Land, HI","5053",,,,,,,,,,,,,,,,,,,,,,"Kalawahine Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kalawahine Hawaiian Home Land, HI",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"G5056","2010-2014",,,,,,,,,"Kamaoa-Puueo Hawaiian Home Land, HI","5056",,,,,,,,,,,,,,,,,,,,,,"Kamaoa-Puueo Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kamaoa-Puueo Hawaiian Home Land, HI",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"G5061","2010-2014",,,,,,,,,"Kamiloloa-Makakupaia Hawaiian Home Land, HI","5061",,,,,,,,,,,,,,,,,,,,,,"Kamiloloa-Makakupaia Hawaiian Home Land, HI",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kamiloloa-Makakupaia Hawaiian Home Land, HI",6,6,11,11,11,11,11,11,11,11,11,11,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"G5066","2010-2014",,,,,,,,,"Kamoku-Kapulena Hawaiian Home Land, HI","5066",,,,,,,,,,,,,,,,,,,,,,"Kamoku-Kapulena Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kamoku-Kapulena Hawaiian Home Land, HI",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"G5067","2010-2014",,,,,,,,,"Kanehili Hawaiian Home Land, HI","5067",,,,,,,,,,,,,,,,,,,,,,"Kanehili Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kanehili Hawaiian Home Land, HI",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"G5069","2010-2014",,,,,,,,,"Kaohe-Olaa Hawaiian Home Land, HI","5069",,,,,,,,,,,,,,,,,,,,,,"Kaohe-Olaa Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kaohe-Olaa Hawaiian Home Land, HI",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"G5071","2010-2014",,,,,,,,,"Kapaa Hawaiian Home Land, HI","5071",,,,,,,,,,,,,,,,,,,,,,"Kapaa Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kapaa Hawaiian Home Land, HI",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"G5076","2010-2014",,,,,,,,,"Kapaakea Hawaiian Home Land, HI","5076",,,,,,,,,,,,,,,,,,,,,,"Kapaakea Hawaiian Home Land, HI",3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kapaakea Hawaiian Home Land, HI",7,7,11,11,11,11,11,11,11,11,7,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"G5083","2010-2014",,,,,,,,,"Kapolei Hawaiian Home Land, HI","5083",,,,,,,,,,,,,,,,,,,,,,"Kapolei Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kapolei Hawaiian Home Land, HI",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"G5086","2010-2014",,,,,,,,,"Kaumana Hawaiian Home Land, HI","5086",,,,,,,,,,,,,,,,,,,,,,"Kaumana Hawaiian Home Land, HI",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,"Kaumana Hawaiian Home Land, HI",5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,5,11,11,11,11,11,11,11,5,11,11,11,11,11,11
"G5088","2010-2014",,,,,,,,,"Kaupea Hawaiian Home Land, HI","5088",,,,,,,,,,,,,,,,,,,,,,"Kaupea Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kaupea Hawaiian Home Land, HI",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"G5091","2010-2014",,,,,,,,,"Kawaihae Hawaiian Home Land, HI","5091",,,,,,,,,,,,,,,,,,,,,,"Kawaihae Hawaiian Home Land, HI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kawaihae Hawaiian Home Land, HI",11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
